企业名称,统代,科技标签_高新技术产业,是否国企,龙头企业级别,2022从业人数,2023从业人数,2024从业人数,2022利润总额,2024资产总收入,2024负债总数,2024资产负债率,实际授信额度,实际授信额度区间
嘉禾材料股份有限公司000000,9.1301e+017,0,0,县级,,6,,565,45512533,32614325,0.7166,4240,"(3620.0, 7318.0]"
盛世物流有限公司000001,9.1315594078e+017,0,,市级,7,7,6,-3434545,10534052,2568016,0.2438,11430,"(11047.0, 14492.0]"
鼎盛电子股份有限公司000002,9.13525534192832e+017,1,0,国家级,5,,2,-2323432,15722331,13046945,0.8298,3310,"(49.999, 3620.0]"
鼎盛纺织集团有限公司000003,9.13238849e+017,1,1,省级,7,,5,343434,14369125,9194728,0.6399,12930,"(11047.0, 14492.0]"
鼎盛纺织有限责任公司000004,9.130184514627e+017,0,1,省级,,1,2,343434,40124332,4300322,0.1072,17340,"(14492.0, 17830.0]"
启明建设有限责任公司000005,9.13015430391e+017,0,0,,7,7,5,565656,10941372,5858460,0.5354,15360,"(14492.0, 17830.0]"
远航化工有限责任公司000006,9.13871331509e+017,0,,国家级,5,5,4,-2323432,49084844,32930082,0.6709,22130,"(21190.0, 24530.0]"
联创能源股份有限公司000007,9.1363116566701065e+017,0,0,省级,7,5,6,565,8979297,6294642,0.701,22130,"(21190.0, 24530.0]"
嘉禾建设有限公司000008,9.1332677360260647e+017,1,1,市级,4,1,7,-2323432,3494925,2226023,0.6369,4060,"(3620.0, 7318.0]"
启明智能有限公司000009,9.131219136193e+017,0,1,市级,5,1,,676767,33845717,29697870,0.8774,19570,"(17830.0, 21190.0]"
汇通建设股份有限公司000010,9.1391183842513e+017,1,1,市级,6,2,2,-2323432,30783821,10299019,0.3346,12330,"(11047.0, 14492.0]"
华信生物集团有限公司000011,9.13493534e+017,1,,县级,6,3,1,-2323432,17848007,2746554,0.1539,5550,"(3620.0, 7318.0]"
嘉禾建设有限公司000012,9.13280e+017,1,0,国家级,1,2,3,-2323432,37122646,25432750,0.6851,18140,"(17830.0, 21190.0]"
宏达智能集团有限公司000013,9.1302563421e+017,1,1,县级,3,2,3,676767,41751888,30250489,0.7245,16690,"(14492.0, 17830.0]"
启明化工有限责任公司000014,9.1314e+017,0,,县级,,2,3,-3434545,18831761,6893018,0.366,31720,"(31390.0, 35000.0]"
启明生物集团有限公司000015,9.136159514e+017,1,1,市级,4,,5,676767,47665775,21089806,0.4425,1860,"(49.999, 3620.0]"
金鼎机械有限责任公司000016,9.1369957e+017,1,0,省级,4,4,2,565,27351243,14855649,0.5431,12370,"(11047.0, 14492.0]"
永泰网络有限公司000017,9.1337e+017,0,0,县级,5,5,7,676767,45250553,14904514,0.3294,9670,"(7318.0, 11047.0]"
启明纺织有限公司000018,9.133172788957e+017,1,1,县级,2,1,7,676767,28631078,7070645,0.247,4410,"(3620.0, 7318.0]"
远航能源有限责任公司000019,9.135812236e+017,0,0,市级,7,7,4,5656,29619350,3546473,0.1197,11290,"(11047.0, 14492.0]"
鼎盛装备有限公司000020,9.134668893e+017,1,1,县级,1,4,7,5656,1410767,1158322,0.8211,28530,"(27972.0, 31390.0]"
金鼎材料股份有限公司000021,9.137204e+017,1,1,县级,6,4,5,5656,39821251,22218377,0.558,16180,"(14492.0, 17830.0]"
星河建设集团有限公司000022,9.1309232e+017,1,0,市级,3,,,6767,15147294,9620496,0.6351,14380,"(11047.0, 14492.0]"
远航化工股份有限公司000023,9.133193149190586e+017,,,县级,5,6,7,343434,7354384,4198001,0.5708,12790,"(11047.0, 14492.0]"
瑞丰生物股份有限公司000024,9.13694531473e+017,1,1,县级,4,6,4,6767,11920351,8468405,0.7104,17880,"(17830.0, 21190.0]"
启明医药有限公司000025,9.1367837e+017,1,,省级,4,7,3,676767,18640070,10255988,0.5502,28770,"(27972.0, 31390.0]"
华泰电子有限责任公司000026,9.13313518e+017,0,1,市级,3,3,5,676767,37035945,12877848,0.3477,30600,"(27972.0, 31390.0]"
嘉禾机械集团有限公司000027,9.13710947775204e+017,1,0,国家级,3,2,6,-2323432,3154506,2923802,0.9269,11280,"(11047.0, 14492.0]"
宏达信息股份有限公司000028,9.13749649909e+017,0,0,市级,,5,1,6767,37551647,27713081,0.738,4900,"(3620.0, 7318.0]"
宏达机械有限责任公司000029,9.137134936183242e+017,,1,市级,2,1,4,565656,31635292,9874429,0.3121,24370,"(21190.0, 24530.0]"
中原科技有限责任公司000030,9.1313e+017,0,1,省级,6,4,5,565656,5498361,3234317,0.5882,17980,"(17830.0, 21190.0]"
盛世科技有限公司000031,9.135674e+017,1,0,市级,3,5,7,343434,31641863,11491215,0.3632,3780,"(3620.0, 7318.0]"
永泰信息有限责任公司000032,9.1377034824771e+017,0,0,市级,7,5,1,5656,31102707,13122941,0.4219,22270,"(21190.0, 24530.0]"
远航信息有限责任公司000033,9.1377378263e+017,0,1,县级,1,7,4,565,10432827,5201160,0.4985,26580,"(24530.0, 27972.0]"
