企业名称,统代,科技标签_高新技术产业,是否国企,龙头企业级别,2022从业人数,2023从业人数,2024从业人数,2022利润总额,实际授信额度,实际授信额度区间
嘉禾材料股份有限公司000000,9.1301e+017,0,0,县级,,6,,565,4240,"(3780.0, 7370.0]"
创元医药有限责任公司000001,9.13161e+017,1,1,县级,7,7,6,5656,11430,"(10954.0, 14480.0]"
汇通环保集团有限公司000002,9.1341316475255341e+017,0,0,县级,1,7,7,676767,7920,"(7370.0, 10954.0]"
盛世化工有限责任公司000003,9.13395e+017,0,1,,6,7,2,6767,33020,"(31471.0, 35000.0]"
鼎盛贸易集团有限公司000004,9.138710e+017,0,0,县级,2,5,5,5656,23950,"(21364.0, 24660.0]"
华信生物有限责任公司000005,9.1351462704828148e+017,0,0,国家级,4,4,5,565656,520,"(49.999, 3780.0]"
星河能源有限公司000006,9.13718e+017,0,1,省级,,3,7,5656,9850,"(7370.0, 10954.0]"
天成纺织股份有限公司000007,9.13331e+017,,0,,2,7,2,-2323432,16390,"(14480.0, 17855.0]"
联创医药集团有限公司000008,9.139973763116566e+017,1,0,,,1,1,-3434545,11450,"(10954.0, 14480.0]"
博雅电子股份有限公司000009,9.1317810e+017,0,0,县级,7,2,5,5656,17330,"(14480.0, 17855.0]"
华泰机械股份有限公司000010,9.138723430980500e+017,1,,国家级,1,1,3,343434,32200,"(31471.0, 35000.0]"
宏达环保有限公司000011,9.1399854353e+017,1,1,,,7,1,343434,23380,"(21364.0, 24660.0]"
天成机械集团有限公司000012,9.13849808412e+017,1,0,省级,1,5,3,676767,10050,"(7370.0, 10954.0]"
星河材料股份有限公司000013,9.13005242e+017,1,1,,6,6,3,6767,10330,"(7370.0, 10954.0]"
远航贸易有限公司000014,9.133315869e+017,0,0,省级,,3,2,-2323432,1760,"(49.999, 3780.0]"
宏达电子集团有限公司000015,9.1316073375433036e+017,1,0,市级,2,3,4,5656,30150,"(27972.0, 31471.0]"
博雅电子有限公司000016,9.13965e+017,1,0,省级,6,5,,5656,10740,"(7370.0, 10954.0]"
永泰贸易股份有限公司000017,9.13595e+017,0,1,县级,1,7,6,565,30230,"(27972.0, 31471.0]"
远航化工有限公司000018,9.13436995e+017,1,0,省级,,4,4,565,7170,"(3780.0, 7370.0]"
远航能源集团有限公司000019,9.130037e+017,0,0,县级,5,5,7,676767,9670,"(7370.0, 10954.0]"
